,region,province,zip_code,property_type,property_subtype,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
6937,Flanders,Limburg,3620,HOUSE,HOUSE,329000.0,2.0,116.0,NOT_INSTALLED,0,0,1,0.0,1,0.0,339.0,1.0,0,GOOD
6938,Flanders,Antwerp,2220,APARTMENT,APARTMENT,279000.0,2.0,98.0,INSTALLED,0,0,1,0.0,0,0.0,0.0,4.0,0,GOOD
6939,Flanders,Limburg,3630,HOUSE,HOUSE,299000.0,3.0,253.0,INSTALLED,0,0,1,0.0,1,0.0,394.0,1.0,0,GOOD
6940,Flanders,Limburg,3621,HOUSE,HOUSE,209000.0,4.0,177.0,INSTALLED,0,0,1,0.0,1,0.0,969.0,1.0,0,TO_BE_DONE_UP
6941,Flanders,Limburg,3631,HOUSE,HOUSE,279000.0,3.0,138.0,INSTALLED,0,0,0,0.0,0,0.0,374.0,1.0,0,GOOD
6942,Flanders,Limburg,3621,HOUSE,HOUSE,185000.0,4.0,243.0,NOT_INSTALLED,0,0,0,0.0,1,0.0,748.0,1.0,0,TO_RENOVATE
6943,Flanders,Limburg,3620,HOUSE,HOUSE,215000.0,3.0,155.0,NOT_INSTALLED,0,0,0,0.0,1,0.0,541.0,1.0,0,TO_RENOVATE
6945,Flanders,West Flanders,8380,HOUSE,HOUSE,265000.0,3.0,132.0,NOT_INSTALLED,0,0,0,0.0,0,0.0,0.0,2.0,0,0
6946,Flanders,West Flanders,8600,HOUSE,HOUSE,159000.0,4.0,123.0,NOT_INSTALLED,0,0,0,0.0,1,150.0,150.0,2.0,0,0
6947,Flanders,Flemish Brabant,3020,HOUSE,HOUSE,639000.0,5.0,255.0,NOT_INSTALLED,0,0,0,0.0,1,0.0,1373.0,1.0,0,0
6948,Flanders,West Flanders,8300,APARTMENT,APARTMENT,545000.0,3.0,110.0,NOT_INSTALLED,0,0,0,0.0,0,0.0,0.0,2.0,0,0
6949,Flanders,West Flanders,8300,HOUSE,HOUSE,525000.0,3.0,165.0,NOT_INSTALLED,0,0,0,0.0,0,0.0,0.0,1.0,0,0
6950,Flanders,West Flanders,8300,HOUSE,HOUSE,550000.0,2.0,67.0,NOT_INSTALLED,0,0,1,8.0,0,0.0,75.0,1.0,0,0
6951,Flanders,West Flanders,8300,APARTMENT,APARTMENT,595000.0,2.0,64.0,NOT_INSTALLED,0,0,0,0.0,0,0.0,0.0,2.0,0,0
6952,Flanders,Flemish Brabant,3190,APARTMENT,DUPLEX,325000.0,2.0,120.0,INSTALLED,0,0,0,0.0,1,0.0,0.0,2.0,0,GOOD
6953,Flanders,Limburg,3680,APARTMENT,APARTMENT,135000.0,1.0,209.51537287396425,INSTALLED,0,0,0,0.0,1,0.0,0.0,2.0,0,0
6954,Flanders,East Flanders,9090,HOUSE,HOUSE,269000.0,2.0,102.0,INSTALLED,0,0,0,0.0,0,0.0,100.0,2.0,0,GOOD
6955,Flanders,West Flanders,8790,HOUSE,HOUSE,319000.0,4.0,184.0,INSTALLED,0,0,1,0.0,1,0.0,631.0,4.0,0,TO_BE_DONE_UP
6956,Flanders,West Flanders,8300,APARTMENT,FLAT_STUDIO,299000.0,0.0,39.0,NOT_INSTALLED,0,0,0,0.0,0,0.0,0.0,2.0,0,0
6957,Flanders,West Flanders,8000,APARTMENT,SERVICE_FLAT,285000.0,2.0,65.0,INSTALLED,0,0,0,0.0,0,0.0,0.0,1.0,0,GOOD
6958,Flanders,Flemish Brabant,3200,HOUSE,HOUSE,399000.0,4.0,263.0,INSTALLED,0,0,1,0.0,1,0.0,2305.0,2.0,0,GOOD
6959,Flanders,Antwerp,2580,HOUSE,HOUSE,145000.0,2.0,95.0,SEMI_EQUIPPED,0,0,1,0.0,1,0.0,382.0,3.0,0,TO_RENOVATE
6960,Flanders,Flemish Brabant,3001,HOUSE,HOUSE,620000.0,5.0,266.0,SEMI_EQUIPPED,0,0,1,0.0,1,0.0,160.0,2.0,0,TO_BE_DONE_UP
6961,Flanders,East Flanders,9340,HOUSE,HOUSE,319000.0,2.0,167.0,INSTALLED,0,0,1,0.0,0,0.0,385.0,3.0,0,TO_BE_DONE_UP
6962,Flanders,Antwerp,2310,HOUSE,HOUSE,389000.0,3.0,220.0,NOT_INSTALLED,0,0,0,0.0,1,690.0,963.0,4.0,0,GOOD
6963,Brussels,Brussels,1050,HOUSE,APARTMENT_BLOCK,1050000.0,0.0,388.0,NOT_INSTALLED,0,0,0,0.0,0,0.0,130.0,2.0,0,TO_BE_DONE_UP
6964,Flanders,Flemish Brabant,3080,HOUSE,HOUSE,340000.0,3.0,209.51537287396425,SEMI_EQUIPPED,0,0,0,0.0,1,275.0,565.0,5.0,0,TO_RENOVATE
6965,Wallonie,Walloon Brabant,1420,HOUSE,VILLA,575000.0,4.0,230.0,INSTALLED,0,0,1,24.0,1,400.0,554.0,4.0,0,AS_NEW
6966,Wallonie,Walloon Brabant,1495,HOUSE,HOUSE,749000.0,5.0,255.0,INSTALLED,0,0,1,60.0,1,800.0,1126.0,3.0,0,AS_NEW
6967,Wallonie,Hainaut,7750,HOUSE,HOUSE,275000.0,3.0,150.0,NOT_INSTALLED,0,0,0,0.0,0,0.0,2760.0,3.0,0,TO_RENOVATE
6970,Flanders,East Flanders,9700,HOUSE,HOUSE,475000.0,2.0,145.0,NOT_INSTALLED,0,0,1,68.0,0,0.0,739.0,4.0,0,JUST_RENOVATED
6971,Flanders,West Flanders,8300,HOUSE,HOUSE,1100000.0,4.0,216.0,USA_HYPER_EQUIPPED,0,0,1,25.0,1,371.0,587.0,4.0,0,GOOD
6972,Flanders,Antwerp,2000,HOUSE,HOUSE,1395000.0,7.0,408.0,NOT_INSTALLED,0,0,1,0.0,0,0.0,230.0,2.0,0,AS_NEW
6983,Brussels,Brussels,1081,HOUSE,APARTMENT_BLOCK,1800000.0,7.760948976982968,209.51537287396425,INSTALLED,0,0,0,0.0,0,0.0,140.0,2.0,0,TO_BE_DONE_UP
6985,Wallonie,Luxembourg,6680,HOUSE,HOUSE,160000.0,3.0,224.0,NOT_INSTALLED,0,0,0,0.0,0,0.0,1110.0,4.0,0,TO_RENOVATE
6986,Wallonie,Luxembourg,6660,HOUSE,HOUSE,189000.0,3.0,164.0,NOT_INSTALLED,0,0,0,0.0,0,0.0,92.0,2.0,0,TO_BE_DONE_UP
6987,Wallonie,Liège,4500,HOUSE,HOUSE,199000.0,1.0,158.0,NOT_INSTALLED,0,0,1,0.0,0,0.0,190.0,3.0,0,GOOD
6988,Wallonie,Liège,4540,HOUSE,HOUSE,199000.0,3.0,219.0,NOT_INSTALLED,0,0,0,0.0,1,349.0,349.0,3.0,0,GOOD
6989,Wallonie,Liège,4500,HOUSE,HOUSE,269000.0,4.0,252.0,NOT_INSTALLED,0,0,0,0.0,0,0.0,816.0,3.0,0,TO_BE_DONE_UP
6990,Flanders,Limburg,3530,HOUSE,BUNGALOW,115000.0,3.0,80.0,INSTALLED,1,0,0,0.0,1,18.0,0.0,4.0,0,GOOD
6991,Flanders,East Flanders,9230,APARTMENT,APARTMENT,260000.0,1.0,87.0,NOT_INSTALLED,0,0,1,31.0,1,0.0,0.0,1.0,0,0
6992,Flanders,East Flanders,9230,APARTMENT,APARTMENT,265000.0,1.0,88.0,NOT_INSTALLED,0,0,1,33.0,1,0.0,0.0,1.0,0,AS_NEW
6993,Flanders,East Flanders,9230,APARTMENT,APARTMENT,330000.0,2.0,103.0,NOT_INSTALLED,0,0,1,13.0,1,0.0,0.0,1.0,0,AS_NEW
6994,Flanders,East Flanders,9230,APARTMENT,APARTMENT,340000.0,2.0,105.0,INSTALLED,0,0,1,13.0,1,0.0,0.0,1.0,0,AS_NEW
6995,Flanders,East Flanders,9230,APARTMENT,APARTMENT,420000.0,3.0,134.0,NOT_INSTALLED,0,0,1,16.0,1,0.0,0.0,1.0,0,AS_NEW
6996,Flanders,West Flanders,8430,APARTMENT,FLAT_STUDIO,105000.0,1.0,209.51537287396425,NOT_INSTALLED,1,0,0,0.0,0,0.0,0.0,1.0,0,0
6997,Flanders,East Flanders,9230,APARTMENT,APARTMENT,335000.0,2.0,209.51537287396425,NOT_INSTALLED,0,0,1,13.0,1,0.0,0.0,1.0,0,0
6998,Flanders,East Flanders,9230,APARTMENT,APARTMENT,300000.0,1.0,89.0,NOT_INSTALLED,0,0,1,30.0,1,60.0,0.0,1.0,0,0
6999,Flanders,East Flanders,9230,APARTMENT,APARTMENT,365000.0,2.0,105.0,NOT_INSTALLED,0,0,1,16.0,1,0.0,0.0,1.0,0,0
7000,Flanders,East Flanders,9230,APARTMENT,APARTMENT,385000.0,2.0,110.0,NOT_INSTALLED,0,0,1,14.0,1,0.0,0.0,1.0,0,AS_NEW
7001,Flanders,East Flanders,9230,APARTMENT,APARTMENT,410000.0,3.0,115.0,INSTALLED,0,0,1,12.0,1,0.0,0.0,1.0,0,AS_NEW
7002,Flanders,East Flanders,9230,APARTMENT,APARTMENT,330000.0,2.0,103.0,NOT_INSTALLED,0,0,1,13.0,1,0.0,0.0,1.0,0,0
